"","Comparison","SIMPER","OTU"
"412","Placebo_0_Drug_4",0.0564704743078269,"f__Verrucomicrobiaceae"
"413","Placebo_0_Drug_4",0.0451373931932511,"f__Clostridiaceae"
"414","Placebo_0_Drug_4",0.0367778384661099,"f__Bacteroidaceae"
"415","Placebo_0_Drug_4",0.036284665346859,"f__Bifidobacteriaceae"
"416","Placebo_0_Drug_4",0.02594792330816,"f__Erysipelotrichaceae"
"417","Placebo_0_Drug_4",0.025430537856292,"unclassified"
"418","Placebo_0_Drug_4",0.024438712456504,"f__Coriobacteriaceae"
"419","Placebo_0_Drug_4",0.0208638131259701,"f__Enterococcaceae"
"420","Placebo_0_Drug_4",0.017851567148128,"f__Prevotellaceae"
"421","Placebo_0_Drug_4",0.00744314591475503,"f__Tissierellaceae"
"422","Placebo_0_Drug_4",0.00631567822600698,"f__Fusobacteriaceae"
"423","Placebo_0_Drug_4",0.00607151892416802,"f__Alcaligenaceae"
"424","Placebo_0_Drug_4",0.00466833451999193,"f__Mogibacteriaceae"
"425","Placebo_0_Drug_4",0.00454916399558503,"f__Eubacteriaceae"
"426","Placebo_0_Drug_4",0.00351138121217398,"f__Rikenellaceae"
"427","Placebo_0_Drug_4",0.00228030865321105,"f__Porphyromonadaceae"
"428","Placebo_0_Drug_4",0.00179588445980294,"f__Peptostreptococcaceae"
"429","Placebo_0_Drug_4",0.00164336636247808,"f__Christensenellaceae"
"430","Placebo_0_Drug_4",0.00144100579432094,"f__Actinomycetaceae"
"431","Placebo_0_Drug_4",0.000873265485686003,"f__Turicibacteraceae"
"432","Placebo_0_Drug_4",0.00078929827303198,"f__Staphylococcaceae"
"433","Placebo_0_Drug_4",0.000413103121506997,"f__Corynebacteriaceae"
"434","Placebo_0_Drug_4",0.000382392779042062,"f__Micrococcaceae"
"435","Placebo_0_Drug_4",0.000328615971512014,"f__Peptococcaceae"
"436","Placebo_0_Drug_4",0.000173568270110946,"f__Leuconostocaceae"
"437","Placebo_0_Drug_4",0.000118629416831051,"f__Gemellaceae"
"438","Placebo_0_Drug_4",9.06977847849877e-05,"f__Campylobacteraceae"
"439","Placebo_0_Drug_4",7.69781899999655e-05,"f__Pasteurellaceae"
"440","Placebo_0_Drug_4",7.53221466800458e-05,"f__Desulfovibrionaceae"
"441","Placebo_0_Drug_4",5.70126475459842e-05,"f__Succinivibrionaceae"
"442","Placebo_0_Drug_4",5.49246582919327e-05,"f__mitochondria"
"443","Placebo_0_Drug_4",4.57448250110737e-05,"f__Halomonadaceae"
"444","Placebo_0_Drug_4",4.36887631819483e-05,"f__Spirochaetaceae"
"445","Placebo_0_Drug_4",4.24409991089947e-05,"f__Paraprevotellaceae"
"446","Placebo_0_Drug_4",3.03707746520665e-05,"f__S24_7"
"447","Placebo_0_Drug_4",2.49654543289513e-05,"f__Barnesiellaceae"
"448","Placebo_0_Drug_4",1.99731479529897e-05,"f__Neisseriaceae"
"449","Placebo_0_Drug_4",1.58029657779668e-05,"f__Aerococcaceae"
"450","Placebo_0_Drug_4",1.24771103030552e-05,"f__Dehalobacteriaceae"
"451","Placebo_0_Drug_4",9.99132542200964e-06,"f__Pseudomonadaceae"
"452","Placebo_0_Drug_4",6.23637120500398e-06,"f__Comamonadaceae"
"453","Placebo_0_Drug_4",4.99328698799761e-06,"f__Acholeplasmataceae"
"454","Placebo_0_Drug_4",4.99328698799761e-06,"f__Carnobacteriaceae"
"455","Placebo_0_Drug_4",4.99328698899681e-06,"f__Dethiosulfovibrionaceae"
"456","Placebo_0_Drug_4",4.99328698799761e-06,"f__Dietziaceae"
"457","Placebo_0_Drug_4",4.99328698899681e-06,"f__Fibrobacteraceae"
"458","Placebo_0_Drug_4",4.99328698799761e-06,"f__0319_6G20"
"459","Placebo_0_Drug_4",0,"f__A4b"
"460","Placebo_0_Drug_4",0,"f__Actinosynnemataceae"
"461","Placebo_0_Drug_4",0,"f__Aeromonadaceae"
"462","Placebo_0_Drug_4",0,"f__AK1AB1_02E"
"463","Placebo_0_Drug_4",0,"f__Alteromonadaceae"
"464","Placebo_0_Drug_4",0,"f__Anaerolinaceae"
"465","Placebo_0_Drug_4",0,"f__Anaeroplasmataceae"
"466","Placebo_0_Drug_4",0,"f__auto67_4W"
"467","Placebo_0_Drug_4",0,"f__Bacillaceae"
"468","Placebo_0_Drug_4",0,"f__Bradyrhizobiaceae"
"469","Placebo_0_Drug_4",0,"f__Bryobacteraceae"
"470","Placebo_0_Drug_4",0,"f__BS11"
"471","Placebo_0_Drug_4",0,"f__Burkholderiaceae"
"472","Placebo_0_Drug_4",0,"f__Cardiobacteriaceae"
"473","Placebo_0_Drug_4",0,"f__Caulobacteraceae"
"474","Placebo_0_Drug_4",0,"f__Chitinophagaceae"
"475","Placebo_0_Drug_4",0,"f__Chthoniobacteraceae"
"476","Placebo_0_Drug_4",0,"f__Cryomorphaceae"
"477","Placebo_0_Drug_4",0,"f__Cyclobacteriaceae"
"478","Placebo_0_Drug_4",0,"f__Cytophagaceae"
"479","Placebo_0_Drug_4",0,"f__Dermabacteraceae"
"480","Placebo_0_Drug_4",0,"f__Ellin6075"
