"Comparison","SIMPER","taxon","level"
"Drug_0_Drug_8",0.045046643408333,"Otu00009","OTU"
"Drug_0_Drug_8",0.042806099833545,"Otu00001","OTU"
"Drug_0_Drug_8",0.034746475737438,"Otu00010","OTU"
"Drug_0_Drug_8",0.029468255691735,"Otu00011","OTU"
"Drug_0_Drug_8",0.026798772431026,"Otu00015","OTU"
"Drug_0_Drug_8",0.021423124444952,"Otu00012","OTU"
"Drug_0_Drug_8",0.02046024679875,"Otu00005","OTU"
"Drug_0_Drug_8",0.020454316354249,"Otu00017","OTU"
"Drug_0_Drug_8",0.020428768689402,"Otu00007","OTU"
"Drug_4_Drug_8",0.0776270035715543,"Otu00004","OTU"
"Drug_4_Drug_8",0.0713716222728647,"Otu00003","OTU"
"Drug_4_Drug_8",0.058308736363194,"Otu00001","OTU"
"Drug_4_Drug_8",0.046278617076373,"Otu00009","OTU"
"Drug_4_Drug_8",0.03944921984473,"Otu00008","OTU"
"Drug_4_Drug_8",0.033380435097354,"Otu00005","OTU"
"Drug_4_Drug_8",0.032055844660776,"Otu00010","OTU"
"Drug_4_Drug_8",0.026634649112239,"Otu00012","OTU"
"Drug_4_Drug_8",0.025465670693531,"Otu00016","OTU"
"Drug_4_Drug_8",0.024326555105145,"Otu00013","OTU"
"Drug_4_Drug_8",0.022774364956359,"Otu00007","OTU"
"Drug_4_Drug_8",0.022612308462661,"Otu00018","OTU"
"Drug_4_Drug_8",0.021759043178013,"Otu00002","OTU"
"Drug_4_Drug_8",0.021382995957683,"Otu00014","OTU"
"Drug_4_Drug_8",0.0211626679347969,"Otu00015","OTU"
"Drug_4_Drug_8",0.020464471542912,"Otu00023","OTU"
"Placebo_0_Placebo_4",0.136259906548904,"unclassified","genus"
"Placebo_0_Placebo_4",0.115843638979373,"g__Streptococcus","genus"
"Placebo_0_Placebo_4",0.092866609559508,"g__Enterococcus","genus"
"Placebo_0_Placebo_4",0.088758308395896,"g__Blautia","genus"
"Placebo_0_Placebo_4",0.078250362569,"g__Lactobacillus","genus"
"Placebo_0_Placebo_4",0.0647146896274781,"g__Akkermansia","genus"
"Placebo_0_Placebo_4",0.052855770531687,"g__Bifidobacterium","genus"
"Placebo_0_Placebo_4",0.0494212245574209,"g__Clostridium","genus"
"Placebo_0_Placebo_4",0.0378178613948821,"g__Dorea","genus"
"Placebo_0_Placebo_4",0.036941643238992,"g__Ruminococcus_L","genus"
"Placebo_0_Placebo_4",0.034832650868469,"g__Bacteroides","genus"
"Placebo_0_Placebo_4",0.03144727556518,"g__Escherichia","genus"
"Placebo_0_Placebo_4",0.028174434698213,"g__Prevotella","genus"
"Placebo_0_Placebo_8",0.122918158020061,"unclassified","genus"
"Placebo_0_Placebo_8",0.107772040351342,"g__Blautia","genus"
"Placebo_0_Placebo_8",0.093855394702981,"g__Streptococcus","genus"
"Placebo_0_Placebo_8",0.080894305597031,"g__Ruminococcus_L","genus"
"Placebo_0_Placebo_8",0.080880589742947,"g__Lactobacillus","genus"
"Placebo_0_Placebo_8",0.070308890689082,"g__Akkermansia","genus"
"Placebo_0_Placebo_8",0.060242527945389,"g__Clostridium","genus"
"Placebo_0_Placebo_8",0.041263919126337,"g__Dorea","genus"
"Placebo_0_Placebo_8",0.0405519065796031,"g__Bifidobacterium","genus"
"Placebo_0_Placebo_8",0.03908031999855,"g__Bacteroides","genus"
"Placebo_0_Placebo_8",0.0294064417629589,"g__Prevotella","genus"
"Placebo_0_Placebo_8",0.028870194350987,"g__Ruminococcus_R","genus"
"Placebo_0_Placebo_8",0.025263717858792,"g__Enterococcus","genus"
"Placebo_0_Placebo_8",0.024031537438432,"g__Coprococcus","genus"
"Placebo_0_Placebo_8",0.023236531927558,"g__Escherichia","genus"
"Placebo_0_Drug_0",0.127630223634386,"g__Blautia","genus"
"Placebo_0_Drug_0",0.116347239310775,"g__Streptococcus","genus"
"Placebo_0_Drug_0",0.112711651109077,"unclassified","genus"
"Placebo_0_Drug_0",0.06889023286877,"g__Clostridium","genus"
"Placebo_0_Drug_0",0.05459895498513,"g__Lactobacillus","genus"
"Placebo_0_Drug_0",0.053539494466577,"g__Akkermansia","genus"
"Placebo_0_Drug_0",0.0525879724413241,"g__Enterococcus","genus"
"Placebo_0_Drug_0",0.048071935304257,"g__Ruminococcus_L","genus"
"Placebo_0_Drug_0",0.0458177363167009,"g__Dorea","genus"
"Placebo_0_Drug_0",0.0417755730395231,"g__Bacteroides","genus"
"Placebo_0_Drug_0",0.0353450855293219,"g__Bifidobacterium","genus"
"Placebo_0_Drug_0",0.024304728919267,"g__Collinsella","genus"
"Placebo_0_Drug_0",0.023115979667322,"g__Ruminococcus_R","genus"
"Placebo_0_Drug_0",0.0213459933417439,"g__Coprococcus","genus"
"Placebo_4_Placebo_8",0.141930552899552,"g__Streptococcus","genus"
"Placebo_4_Placebo_8",0.132244920903377,"unclassified","genus"
"Placebo_4_Placebo_8",0.10219817442602,"g__Blautia","genus"
"Placebo_4_Placebo_8",0.101002604058431,"g__Enterococcus","genus"
"Placebo_4_Placebo_8",0.074171603726346,"g__Ruminococcus_L","genus"
"Placebo_4_Placebo_8",0.065481522112028,"g__Lactobacillus","genus"
"Placebo_4_Placebo_8",0.054069499426177,"g__Bifidobacterium","genus"
"Placebo_4_Placebo_8",0.048321625892914,"g__Akkermansia","genus"
"Placebo_4_Placebo_8",0.046468099871855,"g__Escherichia","genus"
